----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
Accel-Sim-build,,,,,,,,,,,,,,,,,
H200-SASS-accel-20452b0-gpgpu-ff697f9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
GPGPU-Sim-build,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___fast--_Z6l1_latPjS_PmS0_jj--0,l2_bw_64f/__tpb_1024___tpsm_1024___fast--_Z5l2_bwPjS_PdS0_jj--0,l2_lat/__fast--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__fast--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/__tpb_1024____blocks_1--_Z5l1_bwPjS_PfS0_--0,AV--VG
H200-SASS-accel-f56ba0a-gpgpu-0a789ab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-1c450ae-gpgpu-e4a8836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-b9da7ee-gpgpu-e4a8836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-b4dd5bb-gpgpu-e4a8836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-a0575d5-gpgpu-0f3a798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-826d0fd-gpgpu-0f3a798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-ae93dc4-gpgpu-b464869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-7e1bdc7-gpgpu-b464869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-88ca971-gpgpu-b464869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-c0fe2dc-gpgpu-b464869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-9e36462-gpgpu-b464869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-342cc02-gpgpu-01f6fc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-1ec7713-gpgpu-9783b92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-0b5b590-gpgpu-9783b92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-e974aca-gpgpu-9783b92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-ebf1186-gpgpu-9783b92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-f7c8c46-gpgpu-0c33f5a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-08de43a-gpgpu-0c33f5a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-43c51cb-gpgpu-0c33f5a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-e83e5f9-gpgpu-0c33f5a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-e1c2b67-gpgpu-0c33f5a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-148dbe5-gpgpu-8172043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-b35523e-gpgpu-05e8c7e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-8a6539a-gpgpu-3197413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-0cee02c-gpgpu-10b44a9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-0223e0e-gpgpu-fe9e5ea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-6a44245-gpgpu-59f9aa6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-94f8725-gpgpu-59f9aa6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-e9bbcac-gpgpu-59f9aa6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-ee0dce3-gpgpu-59f9aa6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H200-SASS-accel-20452b0-gpgpu-ff697f9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
gpu_tot_sim_insn\s*=\s*(.*),,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___fast--_Z6l1_latPjS_PmS0_jj--0,l2_bw_64f/__tpb_1024___tpsm_1024___fast--_Z5l2_bwPjS_PdS0_jj--0,l2_lat/__fast--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__fast--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/__tpb_1024____blocks_1--_Z5l1_bwPjS_PfS0_--0,AV--VG
H200-SASS-accel-f56ba0a-gpgpu-0a789ab,54921216.0,2275328.0,40713216.0,30594.0,NA,58399.0,294223872.0,110140108.0,8677376.0,36982.0,NA,NA,NA,NA,NA,NA,159169097.6
H200-SASS-accel-1c450ae-gpgpu-e4a8836,54921216.0,2275328.0,40713216.0,30594.0,NA,58399.0,294223872.0,110140108.0,8677376.0,36982.0,NA,NA,NA,NA,NA,NA,159169097.6
H200-SASS-accel-b9da7ee-gpgpu-e4a8836,54921216.0,2275328.0,40713216.0,30594.0,NA,58399.0,294223872.0,110140108.0,8677376.0,36982.0,NA,NA,NA,NA,NA,NA,159169097.6
H200-SASS-accel-b4dd5bb-gpgpu-e4a8836,54921216.0,2275328.0,40713216.0,30594.0,NA,58399.0,294223872.0,110140108.0,8677376.0,36982.0,NA,NA,NA,NA,NA,NA,159169097.6
H200-SASS-accel-a0575d5-gpgpu-0f3a798,54921216.0,2275328.0,40713216.0,30594.0,NA,58399.0,294223872.0,110140108.0,8677376.0,36982.0,NA,NA,NA,NA,NA,NA,159169097.6
H200-SASS-accel-826d0fd-gpgpu-0f3a798,54921216.0,2275328.0,40713216.0,30594.0,NA,58399.0,294223872.0,110140108.0,8677376.0,36982.0,NA,NA,NA,NA,NA,NA,56786343.4
H200-SASS-accel-ae93dc4-gpgpu-b464869,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-7e1bdc7-gpgpu-b464869,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-88ca971-gpgpu-b464869,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-c0fe2dc-gpgpu-b464869,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-9e36462-gpgpu-b464869,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-342cc02-gpgpu-01f6fc4,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-1ec7713-gpgpu-9783b92,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-0b5b590-gpgpu-9783b92,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-e974aca-gpgpu-9783b92,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-ebf1186-gpgpu-9783b92,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-f7c8c46-gpgpu-0c33f5a,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-08de43a-gpgpu-0c33f5a,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-43c51cb-gpgpu-0c33f5a,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-e83e5f9-gpgpu-0c33f5a,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-e1c2b67-gpgpu-0c33f5a,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-148dbe5-gpgpu-8172043,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
