----------------------------------------------------------------------------------------------------,,,,,,,,
Accel-Sim-build,,,,,,,,
RTX2060-SASS-accel-9719269-gpgpu-c51350d,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-5745567-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-052e574-gpgpu-d38b300,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-2390972-gpgpu-13c6711,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-7442333-gpgpu-13c6711,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,NA,NA,NA,NA,NA,NA,NA,NA,NA

----------------------------------------------------------------------------------------------------,,,,,,,,
gpu_tot_sim_insn\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,94050.0,94050.0,NA,NA,NA,112678799.2
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,94050.0,94050.0,NA,NA,NA,112678799.2
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,94050.0,94050.0,NA,NA,NA,112678799.2
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,94050.0,94050.0,NA,NA,NA,112678799.2
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,94050.0,94050.0,NA,NA,NA,112678799.2
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,94050.0,94050.0,NA,NA,NA,3150060.0
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,3586048.0,NA,41493504.0,94050.0,94050.0,10557644.0,185699328.0,65970.0,112678799.2
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-9719269-gpgpu-c51350d,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,3345408.0,NA,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,50309108.7
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-5745567-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-052e574-gpgpu-d38b300,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-2390972-gpgpu-13c6711,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-7442333-gpgpu-13c6711,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,47305973.4
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,3345408.0,2258944.0,39141376.0,100424.0,100424.0,11212992.0,173120512.0,66018.0,28668262.2

----------------------------------------------------------------------------------------------------,,,,,,,,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,,,,,,,,
